_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6778115b9894964293e37f3f,,56.69,90.74,56.69,63.72,49;0;0;0,words,10,-1,0,10.37,0,0,false,false,english,none,normal,false,false,false,,1735922011000
677811449894964293e37e14,,51.31,93.1,51.31,74.2,53;0;0;0,words,10,-1,23,12.4,0,62.75,false,false,english,none,normal,false,false,false,,1735921988000
6778109e9894964293e3757b,,61.02,97.96,61.02,70.5,48;0;0;0,words,10,-1,0,9.44,0,0,false,false,english,none,normal,false,false,false,,1735921822000
6777f6b59894964293e225ca,true,48.39,93.19,49.29,62.91,484;1;2;0,time,120,-1,0,120.02,0,0,false,false,english,none,normal,false,false,false,,1735915189000
6777f5e99894964293e21b45,true,42.68,89.55,45.9,62.61,491;9;2;7,words,100,-1,6,138.05,2,15.43,false,false,english,none,normal,false,false,false,,1735914985000
6777f53b9894964293e21197,true,61.12,96.18,61.12,70.45,126;0;0;0,words,25,-1,2,24.74,0,1.89,false,false,english,none,normal,false,false,false,,1735914811000
6777f5029894964293e20edc,true,65.28,96.83,65.28,55.29,61;0;0;0,words,10,-1,2,11.21,0,0.86,false,false,english,none,normal,false,false,false,,1735914754000
6777f4eb9894964293e20daf,,46.43,86.27,46.43,59.13,44;0;0;0,words,10,-1,0,11.37,0,0,false,false,english,none,normal,false,false,false,,1735914731000
6777f4dd9894964293e20ce6,,56.37,94,56.37,71.71,46;0;0;0,words,10,-1,2,9.79,0,2.56,false,false,english,none,normal,false,false,false,,1735914717000
6777f4c79894964293e20bbb,true,57.63,92.98,57.63,58.7,53;0;0;0,words,10,-1,4,11.04,0,1.86,false,false,english,none,normal,false,false,false,,1735914695000
6777f4a39894964293e209cf,true,55.31,86.54,59.17,61.75,43;1;0;0,words,10,-1,0,9.33,0,0,false,false,english,none,normal,false,false,false,,1735914659000
